,input_string,output_string
497,"This place is pricey, and yes, the food is worth it; but the service makes you feel like you should be paying a quater of the price.","(""restaurant#prices"", ""NEGATIVE""); (""food#quality"", ""POSITIVE""); (""service#general"", ""NEGATIVE"")"
498,Save yourself the time and trouble and skip this one!,"(""restaurant#general"", ""NEGATIVE"")"
499,Amma is nothing special.,"(""restaurant#general"", ""NEUTRAL"")"
500,I ate here a week ago and found most dishes average at best and too expensive.,"(""food#quality"", ""NEGATIVE""); (""food#prices"", ""NEGATIVE"")"
501,Will not be back.,"(""restaurant#general"", ""NEGATIVE"")"
502,"Don't dine at Tamarind for the vegetarian dishes, they are simply not up to par with the non-veg selections.","(""food#quality"", ""NEGATIVE""); (""food#quality"", ""POSITIVE"")"
503,Decor is nice though service can be spotty.,"(""ambience#general"", ""POSITIVE""); (""service#general"", ""NEGATIVE"")"
504,This place is always packed.,"(""ambience#general"", ""NEUTRAL"")"
505,"Most importantly, food is excellent.","(""food#quality"", ""POSITIVE"")"
506,Try the sea bass.,"(""food#quality"", ""POSITIVE"")"
507,Highly recommended.,"(""restaurant#general"", ""POSITIVE"")"
508,First of all Dal Bukhara Rocks.,"(""food#quality"", ""POSITIVE"")"
509,I am happy i did the food was awsome.,"(""food#quality"", ""POSITIVE"")"
510,JUST AWSOME.,"(""food#quality"", ""POSITIVE"")"
511,and yes Dal Bukhara is so dam good and so are all the kababs.,"(""food#quality"", ""POSITIVE""); (""food#quality"", ""POSITIVE"")"
512,but overall i give it a 10,"(""restaurant#general"", ""POSITIVE"")"
513,10,"(""restaurant#general"", ""POSITIVE"")"
514,Haru on Park S is simply disgusting.,"(""restaurant#general"", ""NEGATIVE"")"
515,The fish was not fresh and the rice tasted old and stale.,"(""food#quality"", ""NEGATIVE""); (""food#quality"", ""NEGATIVE"")"
516,"Quite frankly, this is some of the worst sushi I have ever tried.","(""food#quality"", ""NEGATIVE"")"
517,Will never be back.,"(""restaurant#general"", ""NEGATIVE"")"
518,honestly the worst sushi my husband and i had in our entire lives.,"(""food#quality"", ""NEGATIVE"")"
519,not sure why this restaurant would be rated that highly.,"(""restaurant#general"", ""NEGATIVE"")"
520,the all-u-can-eat sushi is definitely in very poor quality.,"(""food#quality"", ""NEGATIVE"")"
521,"limited menu, no-so-fresh ingredients, thinly-sliced fish, fall-apart rice. ","(""food#style_options"", ""NEGATIVE""); (""food#quality"", ""NEGATIVE""); (""food#style_options"", ""NEGATIVE""); (""food#style_options"", ""NEGATIVE"")"
522,"the only things u could really taste are the very salty soy sauce (even its low sodium), the vinegar-soaked rice, and the scallion on top of the fish. ","(""food#quality"", ""NEGATIVE""); (""food#quality"", ""NEGATIVE"")"
523,the waitstaffs are nice though.,"(""service#general"", ""POSITIVE"")"
524,wont come back again for sure!,"(""restaurant#general"", ""NEGATIVE"")"
525,I have been to Roth's twice and both times were very disappointing.,"(""restaurant#general"", ""NEGATIVE"")"
526,"Both times I was extremely dissappointed by the service, which was boarderline rude.","(""service#general"", ""NEGATIVE"")"
527,They wouldnt even let me finish my glass of wine before offering another.,"(""service#general"", ""NEGATIVE"")"
528,Much of the time it seems like they do not care about you.,"(""service#general"", ""NEGATIVE"")"
529,"The dinner was ok, nothing I would have again.","(""food#quality"", ""NEGATIVE"")"
530,"I had their eggs benedict for brunch, which were the worst in my entire life, I tried removing the hollondaise sauce completely that was how failed it was.","(""food#quality"", ""NEGATIVE"")"
531,This was a great surprise.,"(""restaurant#general"", ""POSITIVE"")"
532,With the theater 2 blocks away we had a delicious meal in a beautiful room.,"(""food#quality"", ""POSITIVE""); (""ambience#general"", ""POSITIVE""); (""location#general"", ""POSITIVE"")"
533,The service was attentive.,"(""service#general"", ""POSITIVE"")"
534,I look forward to eating here again,"(""restaurant#general"", ""POSITIVE"")"
535,Planet Thai is great!,"(""restaurant#general"", ""POSITIVE"")"
536,"We love the food, drinks, and atmosphere!","(""food#quality"", ""POSITIVE""); (""drinks#quality"", ""POSITIVE""); (""ambience#general"", ""POSITIVE"")"
537,"The svc can be a bit rude at times, esp if you have big group, but overall the restaurant is a must!","(""service#general"", ""NEGATIVE""); (""restaurant#general"", ""POSITIVE"")"
538,"Try the Pad Thai, it's fabulous and their prices are so cheap!","(""food#quality"", ""POSITIVE""); (""restaurant#prices"", ""POSITIVE"")"
539,"Just because it's cheap does NOT mean the portions are small or the food is nasty, IT IS GREAT!","(""food#style_options"", ""POSITIVE""); (""food#quality"", ""POSITIVE""); (""restaurant#prices"", ""POSITIVE"")"
540,"They forgot a sandwich, didn't include plastic forks, and didn't include pita with the hummus platter.","(""service#general"", ""NEGATIVE"")"
541,"Also, the sandwiches (nearing $7) didn't come with anything like chips or a side.","(""food#style_options"", ""NEGATIVE""); (""food#prices"", ""NEGATIVE"")"
542,"Overall, not worth the money.","(""restaurant#general"", ""NEGATIVE""); (""restaurant#prices"", ""NEGATIVE"")"
543,"Eating in, the atmosphere saves it, but at your desk, it's a very disappointing experience.","(""ambience#general"", ""POSITIVE""); (""restaurant#general"", ""NEGATIVE"")"
544,Chennai Garden is my favorite Indian restaurant in the city.,"(""restaurant#general"", ""POSITIVE"")"
545,They have authentic Indian at amazin prices.,"(""food#quality"", ""POSITIVE""); (""food#prices"", ""POSITIVE"")"
546,This restaurant is VEGETARIAN; there are NO MEAT dishes whatsoever.,"(""food#style_options"", ""NEGATIVE"")"
547,The seats are uncomfortable if you are sitting against the wall on wooden benches.,"(""ambience#general"", ""NEGATIVE"")"
548,It's a rather cramped and busy restaurant and it closes early.,"(""restaurant#miscellaneous"", ""NEGATIVE""); (""ambience#general"", ""NEGATIVE"")"
549,Patroon features a nice cigar bar and has great staff.,"(""ambience#general"", ""POSITIVE""); (""service#general"", ""POSITIVE"")"
550,The food is tasty and portion sizes are appropriate.,"(""food#quality"", ""POSITIVE""); (""food#style_options"", ""POSITIVE"")"
551,This is a nice restaurant if you are looking for a good place to host an intimate dinner meeting with business associates.,"(""restaurant#miscellaneous"", ""POSITIVE"")"
552,Not a great place for family or general dining.,"(""restaurant#miscellaneous"", ""NEGATIVE"")"
553,LLOOVVE THIS PLACE.,"(""restaurant#general"", ""POSITIVE"")"
554,Food is excellent.,"(""food#quality"", ""POSITIVE"")"
555,Fish is so very fresh.,"(""food#quality"", ""POSITIVE"")"
556,Waitstaff are very friendly.,"(""service#general"", ""POSITIVE"")"
557,Love YUKA.,"(""restaurant#general"", ""POSITIVE"")"
558,Mermaid Inn is an overall good restaurant with really good seafood.,"(""food#quality"", ""POSITIVE""); (""restaurant#general"", ""POSITIVE"")"
559,The menu is limited but almost all of the dishes are excellent.,"(""food#style_options"", ""NEGATIVE""); (""food#quality"", ""POSITIVE"")"
560,The lobster sandwich is good and the spaghetti with Scallops and Shrimp is great.,"(""food#quality"", ""POSITIVE""); (""food#quality"", ""POSITIVE"")"
561,The service is good and ambience is good for a date or group outing.,"(""service#general"", ""POSITIVE""); (""ambience#general"", ""POSITIVE"")"
562,The only fallback on this restaurant is the prices.,"(""restaurant#prices"", ""NEGATIVE"")"
563,"Even though its good seafood, the prices are too high.","(""food#quality"", ""POSITIVE""); (""restaurant#prices"", ""NEGATIVE"")"
564,The lobster sandwich is $24 and although it was good it was not nearly enough to warrant that price.,"(""food#quality"", ""POSITIVE""); (""food#prices"", ""NEGATIVE"")"
565,We were very pleasantly surprised.,"(""restaurant#general"", ""POSITIVE"")"
566,"The food was delicious (I had a halibut special, my husband had steak), and the service was top-notch.","(""food#quality"", ""POSITIVE""); (""food#quality"", ""POSITIVE""); (""food#quality"", ""POSITIVE""); (""service#general"", ""POSITIVE"")"
567,"When my dessert came, there was a candle in it - not because anyone asked for one - but because the waiter must have seen me opening my birthday card and gift, and said he knew it was a special occassion of some sort.","(""service#general"", ""POSITIVE"")"
568,Truly the mark of an attentive waiter.,"(""service#general"", ""POSITIVE"")"
569,I highly recommend the restaurant based on our experience last night.,"(""restaurant#general"", ""POSITIVE"")"
570,We ate at this Thai place following the reviews but very unhappy with the foods.,"(""food#quality"", ""NEGATIVE"")"
571,We thought that this place is using too much of MSG cooking in the foods.,"(""food#quality"", ""NEGATIVE"")"
572,"They don't concern much of customer's health, just want to make money.","(""restaurant#miscellaneous"", ""NEGATIVE"")"
573,please don't fool us.,"(""restaurant#miscellaneous"", ""NEGATIVE"")"
574,"I recommend the jelly fish, drunken chicken and the soupy dumplings, certainly the stir fry blue crab.","(""food#quality"", ""POSITIVE""); (""food#quality"", ""POSITIVE""); (""food#quality"", ""POSITIVE""); (""food#quality"", ""POSITIVE"")"
575,The food is so cheap and the waiters are nice.,"(""food#prices"", ""POSITIVE""); (""service#general"", ""POSITIVE"")"
576,"Of course, it is crowded but who cares.","(""ambience#general"", ""NEUTRAL"")"
577,Authentic Shanghai style and I cannot recommend a better Shanghai place in New York.,"(""restaurant#miscellaneous"", ""POSITIVE"")"
578,Have frequented 'ino for several years and the food remains excellent.,"(""food#quality"", ""POSITIVE"")"
579,Cheese plate is a varied delight and great bargain at $10.,"(""food#quality"", ""POSITIVE""); (""food#style_options"", ""POSITIVE""); (""food#prices"", ""POSITIVE"")"
580,"The large selection of bruschettas, paninis, tramezzinis keep the palate from stagnating.","(""food#style_options"", ""POSITIVE""); (""food#style_options"", ""POSITIVE""); (""food#style_options"", ""POSITIVE"")"
581,"(The asparagus, truffle oil, parmesan bruschetta is a winner!)","(""food#quality"", ""POSITIVE"")"
582,Wine list is extensive without being over-priced.,"(""drinks#style_options"", ""POSITIVE""); (""drinks#prices"", ""POSITIVE"")"
583,"Be sure to try the seasonal, and always delicious, specials.","(""food#quality"", ""POSITIVE"")"
584,Definitely a neighborhood favorite.,"(""restaurant#general"", ""POSITIVE"")"
585,I loved this place!!,"(""restaurant#general"", ""POSITIVE"")"
586,I almost hesititate to write a review because the atmosphere was so great and I would hate for it too become to crowded.,"(""ambience#general"", ""POSITIVE"")"
587,"The food was very good, a great deal, and the place its self was great.","(""food#quality"", ""POSITIVE""); (""food#prices"", ""POSITIVE""); (""ambience#general"", ""POSITIVE"")"
588,"The wait staff is very freindly, they make it feel like you're eating in a freindly little european town.","(""service#general"", ""POSITIVE"")"
589,"I like Cafe Noir dont get me wrong, it is jsut that the people who work there are evil and incompetent!!","(""service#general"", ""NEGATIVE""); (""restaurant#general"", ""POSITIVE"")"
590,"The service was terrible, we had to wait for everything and ask several of different people for the same thing before we were allowed to be served.","(""service#general"", ""NEGATIVE"")"
591,"The waitress, seems to be more concerned of looking good than actually waitressing.","(""service#general"", ""NEGATIVE"")"
592,"After dinner the manager grabbed my boyfriend, asked him: Where are you from...maybe you dont know how things work in America...and in the end stormed away almost teareyed yelling that tips are the only thing they survive on.","(""service#general"", ""NEGATIVE"")"
593,"We did tip, I guess the model/waitress just wanted more and complained to the manager.","(""service#general"", ""NEGATIVE"")"
594,"The whole set up is truly unprofessional and I wish Cafe Noir would get some good staff, because despite the current one this is a great place.","(""service#general"", ""NEGATIVE""); (""restaurant#general"", ""POSITIVE"")"
595,Pizza here is consistently good.,"(""food#quality"", ""POSITIVE"")"
596,Salads are a delicious way to begin the meal.,"(""food#quality"", ""POSITIVE"")"
597,You should pass on the calamari.,"(""food#quality"", ""NEGATIVE"")"
598,It is thick and slightly soggy.,"(""food#quality"", ""NEGATIVE"")"
599,Decor is charming.,"(""ambience#general"", ""POSITIVE"")"
600,Service is average.,"(""service#general"", ""NEUTRAL"")"
601,What a great place.,"(""restaurant#general"", ""POSITIVE"")"
602,"The ambience was so fun, and the prices were great, on top of the fact that the food was really tasty.","(""ambience#general"", ""POSITIVE""); (""restaurant#prices"", ""POSITIVE""); (""food#quality"", ""POSITIVE"")"
603,"I wasn't thrilled to have to wait on line for thirty minutes, but I guess that's the price you pay for a popular place.","(""service#general"", ""NEUTRAL"")"
604,I would definitely recommend SEA if you like thai cuisine!,"(""food#quality"", ""POSITIVE"")"
605,I was here a few weeks back and we had the worst customer service experience at a restaurant ever.,"(""service#general"", ""NEGATIVE"")"
606,"A gentleman, maybe the manager, came to our table, and without so much as a smile or greeting asked for our order.","(""service#general"", ""NEGATIVE"")"
607,"When asked about how a certain dish was prepared in comparison to a similar at other thai restaurants, he replied this is not Mcdonald's, every place makes things differently ","(""service#general"", ""NEGATIVE"")"
608,"While it is understandable that every place is indeed different, there was not a need to be uncourteous to customers and downright rude.","(""service#general"", ""NEGATIVE"")"
609,Never again!,"(""restaurant#general"", ""NEGATIVE"")"
610,I absolutely Loved this place.,"(""restaurant#general"", ""POSITIVE"")"
611,"Excellent atmosphere, delicious dishes good and friendly service.","(""ambience#general"", ""POSITIVE""); (""food#quality"", ""POSITIVE""); (""service#general"", ""POSITIVE"")"
612,this is can became on e of the NY Italian Food fare institutions.,"(""restaurant#general"", ""POSITIVE"")"
613,I think that it is absolutely brilliant and well runned business operation.,"(""restaurant#general"", ""POSITIVE"")"
614,The wine list is also really nice.,"(""drinks#style_options"", ""POSITIVE"")"
615,"Everything was wonderful; food, drinks, staff, mileau.","(""restaurant#general"", ""POSITIVE""); (""food#quality"", ""POSITIVE""); (""drinks#quality"", ""POSITIVE""); (""service#general"", ""POSITIVE""); (""ambience#general"", ""POSITIVE"")"
616,I would highly recommend this place!,"(""restaurant#general"", ""POSITIVE"")"
617,I have been to Casimir over 5 times and I have always had a great time there.,"(""restaurant#general"", ""POSITIVE"")"
618,The food is great and reasonably priced.,"(""food#quality"", ""POSITIVE""); (""food#prices"", ""POSITIVE"")"
619,"I have tried to make reservations, but both times, the hostess didn't have my name.","(""service#general"", ""NEGATIVE"")"
620,"If the weather is nice, try to snag an outside table.","(""ambience#general"", ""POSITIVE"")"
621,"The staff has been nice, but they seemed really stressed and the unisex bathroom needs to be cleaned more often.","(""service#general"", ""POSITIVE""); (""ambience#general"", ""NEGATIVE"")"
622,My boyfriend and I went there to celebrate my birthday the other night and all I can say is that it was magnificent.,"(""restaurant#general"", ""POSITIVE"")"
623,"From the spectacular caviar to the hospitable waitstaff, I felt like royalty and enjoyed every second of it.","(""food#quality"", ""POSITIVE""); (""service#general"", ""POSITIVE"")"
624,"Considering we were the last patrons there and it was after the closing time, the waitstaff did not rush us at all and made us feel comfortable and relaxed.","(""service#general"", ""POSITIVE"")"
625,I highly recommend Caviar Russe to anyone who wants delicious top grade caviar and fantastic service.,"(""food#quality"", ""POSITIVE""); (""service#general"", ""POSITIVE"")"
626,Nice Family owned traditional restaurant.,"(""restaurant#general"", ""POSITIVE"")"
627,Fresh ingredients and everything is made to order.,"(""food#quality"", ""POSITIVE""); (""food#quality"", ""POSITIVE"")"
628,I was pleasantly surprised to find this gem in Hoboken.,"(""restaurant#general"", ""POSITIVE"")"
629,Friendly staff that actually lets you enjoy your meal and the company you're with.,"(""service#general"", ""POSITIVE"")"
630,"I found the food to be outstanding, particulary the salmon dish I had.","(""food#quality"", ""POSITIVE""); (""food#quality"", ""POSITIVE"")"
631,"I also ordered the Change Mojito, which was out of this world.","(""drinks#quality"", ""POSITIVE"")"
632,"My friends settled for rice dishes, but we came back the following day to try the dim sum, which was good...not outstanding, but good.","(""food#quality"", ""NEUTRAL"")"
633,"We ate out in the back patio, which is worth it as it's cool and the music is hear well there.","(""ambience#general"", ""POSITIVE""); (""ambience#general"", ""POSITIVE"")"
634,"Overall, excellent restaurant!","(""restaurant#general"", ""POSITIVE"")"
635,The food was good.,"(""food#quality"", ""POSITIVE"")"
636,The place was nice and calm.,"(""ambience#general"", ""POSITIVE"")"
637,but the service was a bit slow.,"(""service#general"", ""NEGATIVE"")"
638,The buffet had a nice selection.,"(""food#style_options"", ""POSITIVE"")"
639,The food was average or above including some surprising tasty dishes.,"(""food#quality"", ""POSITIVE""); (""food#quality"", ""POSITIVE"")"
640,Service was also very good.,"(""service#general"", ""POSITIVE"")"
641,I would go back.,"(""restaurant#general"", ""POSITIVE"")"
642,I got an excellent piece of cheesecake and we had several other nice pastries.,"(""food#quality"", ""POSITIVE""); (""food#quality"", ""POSITIVE"")"
643,"I would recommend Roxy's for that, but not for their food.","(""food#quality"", ""NEGATIVE""); (""food#quality"", ""POSITIVE"")"
644,My son and his girlfriend both wanted cheeseburgers and they were huge!,"(""food#style_options"", ""NEUTRAL"")"
645,"But, they were too big for the bun.","(""food#style_options"", ""NEGATIVE"")"
646,"Consequently, their burgers fell apart in their hands and made such a mess that they did'nt feel like finishing them.","(""food#style_options"", ""NEGATIVE"")"
647,Also they were $15 each!,"(""food#prices"", ""NEGATIVE"")"
648,I had a huge pastrami sandwich on a roll.,"(""food#style_options"", ""NEUTRAL"")"
649,It was $14 not really bad for a pound of Pastrami-but it didn't have much taste-I've had better for less elsewhere!,"(""food#prices"", ""NEUTRAL""); (""food#quality"", ""NEGATIVE"")"
650,"This place is really trendi but they have forgotten about the most important part of a  restaurant, the food.","(""food#quality"", ""NEGATIVE""); (""ambience#general"", ""POSITIVE"")"
651,"The last two times I ordered from here my food was soo spicy that  I could barely eat it, and the spice took away from the flavor of the dish.","(""food#quality"", ""NEGATIVE""); (""food#quality"", ""NEGATIVE"")"
652,And the Tom Kha soup was pathetic.,"(""food#quality"", ""NEGATIVE"")"
653,If you want good authentic Thai this place is not the place to go.,"(""food#quality"", ""NEGATIVE"")"
654,"We went here for lunch a couple of weeks ago on a Saturday, and I was thoroughly impressed with the food.","(""food#quality"", ""POSITIVE"")"
655,"The pesto pizza was excellent, thin-crust pizza with a nice amount of spicy Italian cheese that I'd never heard of before.","(""food#quality"", ""POSITIVE""); (""food#quality"", ""POSITIVE"")"
656,"Conveniently located too, being right on Bedford ave.","(""location#general"", ""POSITIVE"")"
657,"THe back garden sitting area is very pleasant, where you can see their personal herb garden.","(""ambience#general"", ""POSITIVE"")"
658,I will definetly be going back.,"(""restaurant#general"", ""POSITIVE"")"
659,We had the lobster sandwich and it was FANTASTIC.,"(""food#quality"", ""POSITIVE"")"
660,"My husband said he could've eaten several more, the portion was fine for me he even exclaimed that the french fries were the best he has had.","(""food#style_options"", ""NEGATIVE""); (""food#style_options"", ""POSITIVE""); (""food#quality"", ""POSITIVE"")"
661,We had the scallops as an appetizer and they were delicious and the sauce was wonderful.,"(""food#quality"", ""POSITIVE""); (""food#quality"", ""POSITIVE"")"
662,We waited at the bar and had martinis that were just right.,"(""drinks#quality"", ""POSITIVE"")"
663,We will be back.,"(""restaurant#general"", ""POSITIVE"")"
664,love the food.,"(""food#quality"", ""POSITIVE"")"
665,it's the only place you can get yummy authentic japanese comfort food.,"(""food#quality"", ""POSITIVE"")"
666,and you can't beat the prices.,"(""restaurant#prices"", ""POSITIVE"")"
667,highly recommended.,"(""restaurant#general"", ""POSITIVE"")"
668,I've lived in NY for 5 years and this place has it all.,"(""restaurant#general"", ""POSITIVE"")"
669,"Great food, good size menu, great service and an unpretensious setting.","(""food#quality"", ""POSITIVE""); (""food#style_options"", ""POSITIVE""); (""service#general"", ""POSITIVE""); (""ambience#general"", ""POSITIVE"")"
670,"The dishes offered were unique, very tasty and fresh from the lamb sausages, sardines with biscuits, large whole shrimp to the amazing pistachio ice cream (the best and freshest I've ever had).","(""food#quality"", ""POSITIVE""); (""food#quality"", ""POSITIVE""); (""food#quality"", ""POSITIVE""); (""food#quality"", ""POSITIVE""); (""food#quality"", ""POSITIVE"")"
671,I'm glad I was introduced to this place and this is a rare gem in NY.,"(""restaurant#general"", ""POSITIVE"")"
672,"The freshest, best variety, and the fastest delivery.","(""food#quality"", ""POSITIVE""); (""food#style_options"", ""POSITIVE""); (""service#general"", ""POSITIVE"")"
673,Also very inexpensive.,"(""restaurant#prices"", ""POSITIVE"")"
674,A great choice at any cost and a great deal.,"(""restaurant#general"", ""POSITIVE""); (""restaurant#prices"", ""POSITIVE"")"
675,The service was excellent and the food was delicious.,"(""service#general"", ""POSITIVE""); (""food#quality"", ""POSITIVE"")"
676,"We are very particular about sushi and were both please with every choice which included: ceviche mix (special), crab dumplings, assorted sashimi, sushi and rolls, two types of sake, and the banana tempura.","(""food#quality"", ""POSITIVE""); (""food#quality"", ""POSITIVE""); (""food#quality"", ""POSITIVE""); (""food#quality"", ""POSITIVE""); (""food#quality"", ""POSITIVE""); (""food#quality"", ""POSITIVE""); (""drinks#quality"", ""POSITIVE""); (""food#quality"", ""POSITIVE"")"
677,Definitely a great spot for a nice occasion or date.,"(""restaurant#miscellaneous"", ""POSITIVE"")"
678,"Average to good Thai food, but terrible delivery.","(""food#quality"", ""POSITIVE""); (""service#general"", ""NEGATIVE"")"
679,I've waited over one hour for food.,"(""service#general"", ""NEGATIVE"")"
680,They were very abrupt with me when I called and actually claimed the food was late because they were out of rice.,"(""service#general"", ""NEGATIVE"")"
681,A Thai restaurant out of rice during dinner?,"(""restaurant#miscellaneous"", ""NEGATIVE"")"
682,"The food arrived 20 minutes after I called, cold and soggy.","(""food#quality"", ""NEGATIVE""); (""service#general"", ""NEGATIVE"")"
683,This is a wonderful place on all stand points especially value ofr money.,"(""restaurant#prices"", ""POSITIVE""); (""restaurant#general"", ""POSITIVE"")"
684,An excellent service,"(""service#general"", ""POSITIVE"")"
685,We were greeted promptly by the waiter who was very nice and cordial.,"(""service#general"", ""POSITIVE"")"
686,She was very helpful in suggesting us drinks and helped us in ordering a lot of good dishes since we knew nothing about Indian food.,"(""service#general"", ""POSITIVE""); (""food#quality"", ""POSITIVE"")"
687,The food looked very appetizing and delicious since it came on a variety of fancy plates.,"(""food#style_options"", ""POSITIVE"")"
688,We ended our great experience by having Gulab Jamun (dessert) recommended by the waiter.,"(""food#quality"", ""POSITIVE"")"
689,I thanked my friend who recommended me this restaurant and will certainly recommend it to others.,"(""restaurant#general"", ""POSITIVE"")"
690,"Service here was great, food was fantastic.","(""service#general"", ""POSITIVE""); (""food#quality"", ""POSITIVE"")"
691,"Guacamole+shrimp appetizer was really great, we both had the filet, very good, didn't much like the frites that came with, but the filet was so good, neither of us cared.","(""food#quality"", ""POSITIVE""); (""food#quality"", ""POSITIVE""); (""food#quality"", ""NEGATIVE"")"
692,Will absolutely visit again.,"(""restaurant#general"", ""POSITIVE"")"
693,You cannot go wrong with this place.,"(""restaurant#general"", ""POSITIVE"")"
694,"The food is outstanding and the service is quick, friendly and very professional.","(""food#quality"", ""POSITIVE""); (""service#general"", ""POSITIVE"")"
695,"Always a nice crowd, but never loud.","(""restaurant#miscellaneous"", ""POSITIVE""); (""ambience#general"", ""POSITIVE"")"
696,Go here.,"(""restaurant#general"", ""POSITIVE"")"
697,Good for dates or with friends.,"(""restaurant#miscellaneous"", ""POSITIVE"")"
698,I am reluctant to write because I would not want my jem of a pizza place to become overcrowded.,"(""restaurant#miscellaneous"", ""POSITIVE"")"
699,"However, it is jus too good to not praise it.","(""restaurant#general"", ""POSITIVE"")"
700,"By far, the best pizza in Manhattan.","(""food#quality"", ""POSITIVE"")"
701,"The crust is thin, the ingredients are fresh and the staff is friendly.","(""food#quality"", ""POSITIVE""); (""service#general"", ""POSITIVE""); (""food#quality"", ""POSITIVE"")"
702,The menu has so many fish items and oysters.,"(""food#style_options"", ""POSITIVE"")"
703,"The fish was really,really fresh.","(""food#quality"", ""POSITIVE"")"
704,We all agreed that mare is one of the best seafood restaurants in New York.,"(""restaurant#general"", ""POSITIVE"")"
705,I stumbled upon this great pizzeria as I explored my new neighborhood.,"(""restaurant#general"", ""POSITIVE"")"
706,All of the pizzas are terrific and the price is even better!,"(""food#quality"", ""POSITIVE""); (""restaurant#prices"", ""POSITIVE"")"
707,I highly recommend the Sophia pizza.,"(""food#quality"", ""POSITIVE"")"
708,It's to die for!,"(""food#quality"", ""POSITIVE"")"
709,The food was mediocre at best but it was the horrible service that made me vow never to go back.,"(""food#quality"", ""NEGATIVE""); (""service#general"", ""NEGATIVE"")"
710,"Immediately after we paid, the waiter took the money and said, okay, you guys are outta here.","(""service#general"", ""NEGATIVE"")"
711,So rushing us out was absolutely unnecessary!,"(""service#general"", ""NEGATIVE"")"
712,"For the people who want great food plus great service, Roxy is a place to AVOID!","(""food#quality"", ""NEGATIVE""); (""service#general"", ""NEGATIVE"")"
713,"The first time the sushi was outstanding, the second time it was a little bland.","(""food#quality"", ""POSITIVE""); (""food#quality"", ""NEGATIVE"")"
714,I'm sure I'll return for a final judgement tho.,"(""restaurant#general"", ""NEUTRAL"")"
715,"The blond wood decor is very soothing, the premium sake is excellent and the service is great.","(""ambience#general"", ""POSITIVE""); (""drinks#quality"", ""POSITIVE""); (""service#general"", ""POSITIVE"")"
716,Mizu is the Japenese find in Grammercy.,"(""restaurant#general"", ""POSITIVE"")"
717,"While their kitchen food is delicious, their Sushi is out of this world.","(""food#quality"", ""POSITIVE""); (""food#quality"", ""POSITIVE"")"
718,Mizu is home to creative and unique rolls not to found anywhere else.,"(""food#style_options"", ""POSITIVE"")"
719,"Not only is the cuisine the best around, the service has always been attentive and charming.","(""food#quality"", ""POSITIVE""); (""service#general"", ""POSITIVE"")"
720,Warning: You may find it difficult to dine at other Japanese restaurants after a visit to Mizu!,"(""restaurant#general"", ""POSITIVE"")"
721,"Thalia is a beautiful restaurant with beautiful people serving you, but the food doesn't quite match up.","(""service#general"", ""POSITIVE""); (""food#quality"", ""NEGATIVE""); (""ambience#general"", ""POSITIVE"")"
722,I ordered the smoked salmon and roe appetizer and it was off flavor.,"(""food#quality"", ""NEGATIVE"")"
723,"The entree was bland and small, dessert was not inspired.","(""food#quality"", ""NEGATIVE""); (""food#style_options"", ""NEGATIVE""); (""food#quality"", ""NEGATIVE"")"
724,I expected quite a bit more from such an expensive menu.,"(""food#prices"", ""NEGATIVE""); (""food#quality"", ""NEGATIVE"")"
725,"The view is spectacular, and the food is great.","(""location#general"", ""POSITIVE""); (""food#quality"", ""POSITIVE"")"
726,Wonderful strawberry daiquiries as well!,"(""drinks#quality"", ""POSITIVE"")"
727,Definitely worth the trip to Battery Park City!,"(""restaurant#general"", ""POSITIVE"")"
728,One of my favorite places in Manhattan.,"(""restaurant#general"", ""POSITIVE"")"
729,Authentic Taiwanese food that's cheap... what more could you ask for?,"(""food#quality"", ""POSITIVE""); (""food#prices"", ""POSITIVE"")"
730,(Besides that there should be more restaurants like it around the city).,"(""restaurant#general"", ""POSITIVE"")"
731,The cold appetizer dishes taste like the way I remember them to taste when I was growing up in Taiwan.,"(""food#quality"", ""POSITIVE"")"
732,delicious simple food in nice outdoor atmosphere.,"(""food#quality"", ""POSITIVE""); (""food#style_options"", ""POSITIVE""); (""ambience#general"", ""POSITIVE"")"
733,"Kind, attentive wait staff.","(""service#general"", ""POSITIVE"")"
734,I really like both the scallops and the mahi mahi (on saffron risotto-yum!).,"(""food#quality"", ""POSITIVE""); (""food#quality"", ""POSITIVE"")"
735,My friend devoured her chicken and mashed potatos.,"(""food#quality"", ""POSITIVE"")"
736,Delicious crab cakes too.,"(""food#quality"", ""POSITIVE"")"
737,"Even if the food wasn't this good, the garden is a great place to sit outside and relax.","(""ambience#general"", ""POSITIVE""); (""food#quality"", ""POSITIVE"")"
738,Great neighborhood joint.,"(""restaurant#general"", ""POSITIVE"")"
739,This is a nice pizza place with good selection of thin crust pizza including the Basil slice.,"(""food#style_options"", ""POSITIVE""); (""food#quality"", ""POSITIVE""); (""restaurant#general"", ""POSITIVE""); (""food#quality"", ""POSITIVE"")"
740,"Their calzones are horrific, bad, vomit-inducing, YUCK.","(""food#quality"", ""NEGATIVE"")"
741,They smell like they stuff them with old canned vegetables like the spinach mushroom calzone.,"(""food#quality"", ""NEGATIVE"")"
742,The counter service is bad.,"(""service#general"", ""NEGATIVE"")"
743,They charge different prices all the time.,"(""service#general"", ""NEGATIVE"")"
744,"They're rude at times, and not very friendly.","(""service#general"", ""NEGATIVE"")"
745,NO PIZZA 33 for me!,"(""restaurant#general"", ""NEGATIVE"")"
